Flight,Date,Banner/CC Name,Id,Impressions
AMP-,6/1/2017,AMP-728X90-TB,1,237
AMP-,6/1/2017,AMP-300X250-MR,2,248
AMP-,6/2/2017,AMP-728X90-TB,1,125
AMP-,6/2/2017,AMP-300X250-MR,2,113
AMP-,6/3/2017,AMP-728X90-TB,1,64
AMP-,6/3/2017,AMP-300X250-MR,2,55
AMP-,6/4/2017,AMP-728X90-TB,1,78
AMP-,6/4/2017,AMP-300X250-MR,2,83
AMP-,6/5/2017,AMP-728X90-TB,1,191
AMP-,6/5/2017,AMP-300X250-MR,2,189
AMP-,6/6/2017,AMP-728X90-TB,1,298
AMP-,6/6/2017,AMP-300X250-MR,2,302
AMP-,6/7/2017,AMP-728X90-TB,1,414
AMP-,6/7/2017,AMP-300X250-MR,2,400
AMP-,6/8/2017,AMP-728X90-TB,1,305
AMP-,6/8/2017,AMP-300X250-MR,2,263
AMP-,6/9/2017,AMP-728X90-TB,1,151
AMP-,6/9/2017,AMP-300X250-MR,2,161
AMP-,6/10/2017,AMP-728X90-TB,1,65
AMP-,6/10/2017,AMP-300X250-MR,2,61
AMP-,6/11/2017,AMP-728X90-TB,1,71
AMP-,6/11/2017,AMP-300X250-MR,2,88
AMP-,6/12/2017,AMP-728X90-TB,1,145
AMP-,6/12/2017,AMP-300X250-MR,2,151
AMP-,6/13/2017,AMP-728X90-TB,1,237
AMP-,6/13/2017,AMP-300X250-MR,2,231
AMP-,6/14/2017,AMP-728X90-TB,1,259
AMP-,6/14/2017,AMP-300X250-MR,2,261
AMP-,6/15/2017,AMP-728X90-TB,1,354
AMP-,6/15/2017,AMP-300X250-MR,2,284
AMP-,6/16/2017,AMP-728X90-TB,1,355
AMP-,6/16/2017,AMP-300X250-MR,2,289
AMP-,6/17/2017,AMP-728X90-TB,1,89
AMP-,6/17/2017,AMP-300X250-MR,2,79
AMP-,6/18/2017,AMP-728X90-TB,1,147
AMP-,6/18/2017,AMP-300X250-MR,2,132
AMP-,6/19/2017,AMP-728X90-TB,1,292
AMP-,6/19/2017,AMP-300X250-MR,2,248
AMP-,6/20/2017,AMP-728X90-TB,1,225
AMP-,6/20/2017,AMP-300X250-MR,2,248
AMP-,6/21/2017,AMP-728X90-TB,1,339
AMP-,6/21/2017,AMP-300X250-MR,2,319
AMP-,6/22/2017,AMP-728X90-TB,1,268
AMP-,6/22/2017,AMP-300X250-MR,2,266
AMP-,6/23/2017,AMP-728X90-TB,1,203
AMP-,6/23/2017,AMP-300X250-MR,2,228
AMP-,6/24/2017,AMP-728X90-TB,1,92
AMP-,6/24/2017,AMP-300X250-MR,2,75
AMP-,6/25/2017,AMP-728X90-TB,1,121
AMP-,6/25/2017,AMP-300X250-MR,2,115
AMP-,6/26/2017,AMP-728X90-TB,1,213
AMP-,6/26/2017,AMP-300X250-MR,2,204
AMP-,6/27/2017,AMP-728X90-TB,1,231
AMP-,6/27/2017,AMP-300X250-MR,2,217
AMP-,6/28/2017,AMP-728X90-TB,1,217
AMP-,6/28/2017,AMP-300X250-MR,2,218
AMP-,6/29/2017,AMP-728X90-TB,1,186
AMP-,6/29/2017,AMP-300X250-MR,2,187
AMP-,6/30/2017,AMP-728X90-TB,1,167
AMP-,6/30/2017,AMP-300X250-MR,2,128
