Date,SID,BTpop
6/1/2017,7412923,2822
6/2/2017,7412923,2822
6/3/2017,7412923,2822
6/4/2017,7412923,2822
6/5/2017,7412923,2822
6/6/2017,7412923,2822
6/7/2017,7412923,2822
6/8/2017,7412923,2822
6/9/2017,7412923,2822
6/10/2017,7412923,2822
6/11/2017,7412923,2822
6/12/2017,7412923,2822
6/13/2017,7412923,2822
6/14/2017,7412923,3748
6/15/2017,7412923,4746
6/16/2017,7412923,3062
6/17/2017,7412923,1667
6/18/2017,7412923,1621
6/19/2017,7412923,2908
6/20/2017,7412923,2875
6/21/2017,7412923,3344
6/22/2017,7412923,4445
6/23/2017,7412923,2848
6/24/2017,7412923,1410
6/25/2017,7412923,1523
6/26/2017,7412923,2602
6/27/2017,7412923,2720
6/28/2017,7412923,3321
6/29/2017,7412923,3852
6/30/2017,7412923,2418
