"","Seg","Camp","rsq","Consider","ImpFcstSet1","ImpFcstSet2","Est1","Est2","term","estimate","std.error","statistic","p.value","CampMax"
"1","C","H",0.943748114085301,NA,113888,113888,NA,NA,"BTpop",0.368,0.017,21.674,4.87659261853653e-19,5
"2","P","GH",0.851891969761533,"SR",31217,100013,NA,NA,"BTpop",0.268,0.021,12.691,3.93467197062076e-13,4
"3","E","L-Jn",0.864536000243051,NA,23680,28385,NA,NA,"BTpop",0.328,0.025,13.368,1.12043252108114e-13,3
"4","HO","AD",0.865376697137942,NA,80568,67307,NA,NA,"BTpop",0.282,0.021,13.416,1.02645376578498e-13,5
"5","HO","AM",0.588760348687305,"SP",59044,47901,NA,NA,"BTpop",0.237,0.037,6.331,7.53753843195552e-07,5
"6","HO","K",0.829250037837805,NA,63224,53052,NA,NA,"BTpop",0.216,0.019,11.661,2.91914219396049e-12,5
"7","HO","N-Jn",0.826333381051666,NA,63732,53433,NA,NA,"BTpop",0.219,0.019,11.542,3.70630273578275e-12,5
"8","I","H",0.911451631527159,"SR",23299,42653,NA,NA,"BTpop",0.275,0.016,16.977,2.84281960320681e-16,3
"9","R","H",0.344158860978221,NA,7632,14189,NA,NA,"BTpop",0.362,0.094,3.833,0.000656045896167017,2
"10","G","BS",0.787316050250651,NA,16922,52764,NA,NA,"BTpop",0.483,0.047,10.181,6.4693927598019e-11,2
"11","G","GH",0.826106600540387,"SR",6596,20332,NA,NA,"BTpop",0.185,0.016,11.533,3.77511607854473e-12,2
"12","SY","N",0.842127098844515,NA,22109,34591,NA,NA,"BTpop",0.487,0.04,12.221,9.66998909338048e-13,2
"13","NPH","AMP",0.492697249336984,NA,10664,27833,NA,NA,"BTpop",0.232,0.045,5.215,1.54193736710192e-05,2
"14","NPH","FV",0.511504032584565,NA,12062,31690,NA,NA,"BTpop",0.266,0.049,5.415,8.93692590126592e-06,2
"15","EUR","A-Jn",0.784017647248894,NA,22017,23917,NA,NA,"BTpop",0.247,0.024,10.082,8.04026905549692e-11,2
"16","EUR","B-Jn",0.737775964243862,NA,28468,30895,NA,NA,"BTpop",0.315,0.036,8.876,1.25004573507684e-09,2
"17","WH","EST",NA,"EST",NA,NA,7441,19808,NA,0.343,0.042,NA,NA,1
"18","D","EST",NA,"EST",NA,NA,10421,30332,NA,0.343,0.042,NA,NA,1
"19","EM","EST",NA,"EST",NA,NA,25375,29432,NA,0.343,0.042,NA,NA,1
"20","PDS","EST",NA,"EST",NA,NA,16860,31889,NA,0.343,0.042,NA,NA,2
